# THALASSA - STATISTICS                                                                                                                                                                                                             
#===================================================================================================================================================================================================================================
#    CALLS      STEPS                    TOL               CPUT [s]                    MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]
    125766      60856  1.000000000000000E-13  1.235000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.345000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.338000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.256000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.280000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.190000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.242000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.231000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.248000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.280000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.288000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.232000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
