# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.520000000000000E+04, 4.319999999999999E+04, 4.000000000000001E-02, 1.326000000000001E+01, 0.000000000000000E+00, 0.000000000000000E+00, 0.000000000000000E+00
 5.523000000000000E+04, 4.319920710530327E+04, 4.982088950076115E-02, 1.325816780443402E+01, 3.598258823447428E+02, 6.544007916268612E+00, 3.563319258128326E+02
 5.526000000000000E+04, 4.319695608508349E+04, 5.695933172821234E-02, 1.326082564059664E+01, 3.596068613156818E+02, 1.578614364809128E+01, 3.501876582230153E+02
 5.529000000000000E+04, 4.319513734149485E+04, 6.079731185709876E-02, 1.327301010222540E+01, 3.593777495857179E+02, 2.601606112482360E+01, 3.433491185120164E+02
 5.532000000000000E+04, 4.319514850953589E+04, 6.115466351777639E-02, 1.329295956843783E+01, 3.591702697428320E+02, 3.641095882364644E+01, 3.364460308644208E+02
 5.535000000000000E+04, 4.319671596451831E+04, 5.808812043010515E-02, 1.331467407390795E+01, 3.590025085842978E+02, 4.647978156981115E+01, 3.297968164172369E+02
 5.538000000000000E+04, 4.319902015923785E+04, 5.197146829565532E-02, 1.332974678199412E+01, 3.588546906322609E+02, 5.546326772960003E+01, 3.242176847527937E+02
 5.541000000000000E+04, 4.320098384594620E+04, 4.342742023434555E-02, 1.333655932184428E+01, 3.586907855751398E+02, 6.236894621413493E+01, 3.207463237026636E+02
 5.544000000000000E+04, 4.320236097652002E+04, 3.363098369917594E-02, 1.334119917122341E+01, 3.584865500394734E+02, 6.490963282818477E+01, 3.215954469969504E+02
 5.547000000000000E+04, 4.320281232501291E+04, 2.453263922416389E-02, 1.334900024431731E+01, 3.582543953762812E+02, 5.770953807547441E+01, 3.319582017625423E+02
 5.550000000000000E+04, 4.320304746382152E+04, 2.071398707386192E-02, 1.336226589566985E+01, 3.580195011151740E+02, 3.453174971073186E+01, 3.581266821194178E+02
 5.553000000000000E+04, 4.320336872810902E+04, 2.602800838224342E-02, 1.337895352045092E+01, 3.578126656602773E+02, 1.330351122334275E+01, 2.229713949656509E+01
 5.556000000000000E+04, 4.320280626164768E+04, 3.611188646967370E-02, 1.339040476799214E+01, 3.576455361096785E+02, 8.547493041703053E+00, 2.994594234660021E+01
 5.559000000000000E+04, 4.320073844876023E+04, 4.635848276070613E-02, 1.338970319729719E+01, 3.574784147805752E+02, 1.290621378891284E+01, 2.845592978997169E+01
 5.562000000000001E+04, 4.319767459791695E+04, 5.457315199893298E-02, 1.338477287730959E+01, 3.572620637729682E+02, 2.107498133484626E+01, 2.330591096438411E+01
 5.565000000000001E+04, 4.319546074998057E+04, 5.982918985721909E-02, 1.338800757300088E+01, 3.570061863641365E+02, 3.084911236188510E+01, 1.688721227411398E+01
 5.568000000000000E+04, 4.319511887430644E+04, 6.171960303473956E-02, 1.340364428478479E+01, 3.567574579873620E+02, 4.118205189685294E+01, 1.010847914320592E+01
 5.571000000000000E+04, 4.319608672667244E+04, 6.011270725251806E-02, 1.342565729913973E+01, 3.565576579059295E+02, 5.148196958721217E+01, 3.328266746790992E+00
 5.574000000000000E+04, 4.319714645983964E+04, 5.517929748374651E-02, 1.344178103137987E+01, 3.564025385204933E+02, 6.106981654402774E+01, 3.572130289948432E+02
 5.577000000000000E+04, 4.319759863766284E+04, 4.741604989871809E-02, 1.344548319526510E+01, 3.562447415006562E+02, 6.907397889704342E+01, 3.526948666598277E+02
 5.580000000000000E+04, 4.319821670896419E+04, 3.782248970950328E-02, 1.344251307757559E+01, 3.560368828231587E+02, 7.377982275347966E+01, 3.514830432857000E+02
 5.583000000000000E+04, 4.320017900800530E+04, 2.807605566813754E-02, 1.344416239524953E+01, 3.557767982675002E+02, 7.128427639485412E+01, 3.572731358895775E+02
 5.586000000000000E+04, 4.320311807914026E+04, 2.155012890104269E-02, 1.345672533684870E+01, 3.555088069302052E+02, 5.459148448898898E+01, 1.703508682518017E+01
 5.589000000000000E+04, 4.320496196954029E+04, 2.320777564564084E-02, 1.347416836873954E+01, 3.552855740073867E+02, 2.968740653895943E+01, 4.489999650268111E+01
 5.592000000000001E+04, 4.320451922726515E+04, 3.192076952497951E-02, 1.348244084796405E+01, 3.551108614721221E+02, 1.857343025381530E+01, 5.892847489635579E+01
 5.595000000000001E+04, 4.320231806485709E+04, 4.243957985081629E-02, 1.347593299904122E+01, 3.549243830597807E+02, 1.988783128580410E+01, 6.052213620662970E+01
 5.598000000000001E+04, 4.319956179720916E+04, 5.172977448102747E-02, 1.346575505948426E+01, 3.546818767025187E+02, 2.685143033242453E+01, 5.655286700557824E+01
 5.601000000000000E+04, 4.319734810898390E+04, 5.831404385029261E-02, 1.346540332032576E+01, 3.544022963721657E+02, 3.617930028229697E+01, 5.052822692400194E+01
 5.604000000000001E+04, 4.319658274541407E+04, 6.160061649524885E-02, 1.347703610941971E+01, 3.541373146248047E+02, 4.641678120694745E+01, 4.384767951228856E+01
 5.607000000000000E+04, 4.319666066827617E+04, 6.135829637370807E-02, 1.349349657538468E+01, 3.539219211167880E+02, 5.680500748507741E+01, 3.704698673195939E+01
 5.610000000000001E+04, 4.319615409667386E+04, 5.765064389006195E-02, 1.350386355652101E+01, 3.537507001254337E+02, 6.675179322652875E+01, 3.063398854560723E+01
 5.613000000000000E+04, 4.319508202816140E+04, 5.092479565490156E-02, 1.350285071675641E+01, 3.535734731641450E+02, 7.544514227172867E+01, 2.549474227693473E+01
