# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.909500000000000E+04  7.628030282571664E+03  2.120716411368337E-03  2.120901421533169E-03  3.218053849679844E+02  1.158456186494351E+02  3.398212153397200E+02
 5.909600000000000E+04  7.628048714638211E+03  2.212776948451564E-03  2.036476195948731E-03  3.149141150643362E+02  1.363243810737565E+02  3.481083654056155E+02
 5.909700000000000E+04  7.628090322362998E+03  2.261965202362066E-03  1.997124019914257E-03  3.087058884337169E+02  1.561542079637699E+02  3.563615315604664E+02
 5.909800000000000E+04  7.628134476270124E+03  2.264572885072277E-03  1.978441327336557E-03  3.037218201400901E+02  1.748262265887795E+02  4.548533098453584E+00
 5.909900000000000E+04  7.628158575589042E+03  2.217461534075426E-03  1.954654304488076E-03  3.000760715160450E+02  1.922101451174073E+02  1.268547728393680E+01
 5.910000000000000E+04  7.628149645211704E+03  2.120193068604880E-03  1.904684237922660E-03  2.975863849802670E+02  2.084343866250331E+02  2.082610488986550E+01
 5.910100000000000E+04  7.628111022248901E+03  1.975973647223785E-03  1.813944937209069E-03  2.959194172337322E+02  2.237738269412744E+02  2.902876820731475E+01
 5.910200000000000E+04  7.628060696980591E+03  1.790769706082247E-03  1.674193520435364E-03  2.946391829787525E+02  2.386400269318425E+02  3.731781367999882E+01
 5.910300000000000E+04  7.628022208074573E+03  1.571189318216634E-03  1.483593304369314E-03  2.931382213429655E+02  2.536753999134967E+02  4.565828500365842E+01
 5.910400000000000E+04  7.628012805661523E+03  1.322561646547261E-03  1.248371523073535E-03  2.904101330177657E+02  2.699793438790169E+02  5.395725060732337E+01
 5.910500000000000E+04  7.628034923976896E+03  1.048502204806971E-03  9.876316114512103E-04  2.845109926536954E+02  2.896228931467110E+02  6.208769819208511E+01
 5.910600000000000E+04  7.628075224462717E+03  7.521478082832714E-04  7.448229492081652E-04  2.715991029231774E+02  3.166014680148190E+02  6.989597393303633E+01
 5.910700000000000E+04  7.628111585951870E+03  4.380216433877496E-04  6.034349886731091E-04  2.475790156456414E+02  3.553734673170324E+02  7.701912662132328E+01
 5.910800000000000E+04  7.628124446223995E+03  1.135921056334037E-04  6.302393748071602E-04  2.208542006698574E+02  4.204697657928401E+01  7.894552739499143E+01
 5.910900000000000E+04  7.628106731753602E+03  2.157634697895203E-04  7.482141201225894E-04  2.044706487473405E+02  2.400876625715320E+02  2.791634111769005E+02
 5.911000000000000E+04  7.628067460572813E+03  5.367236170800496E-04  8.411373456628586E-04  1.961942558416931E+02  2.647311340684168E+02  2.846711928404776E+02
 5.911100000000000E+04  7.628027203753846E+03  8.445713450988252E-04  8.526719943940296E-04  1.905353328531425E+02  2.846671938165945E+02  2.922687557146004E+02
 5.911200000000000E+04  7.628007659736512E+03  1.134303278850064E-03  7.799954731119144E-04  1.830588655894598E+02  3.059134560674823E+02  3.003735856527932E+02
 5.911300000000000E+04  7.628020578282558E+03  1.402399629454557E-03  6.701497718332810E-04  1.689152172911527E+02  3.336174106903366E+02  3.086879709500369E+02
 5.911400000000000E+04  7.628061588179075E+03  1.644842485444059E-03  6.245393613707452E-04  1.451154904425147E+02  1.093413657346193E+01  3.170458650621308E+02
 5.911500000000000E+04  7.628112149327481E+03  1.855873086946941E-03  7.322247707821556E-04  1.209477992835441E+02  4.867955300979384E+01  3.253433027912644E+02
 5.911600000000000E+04  7.628148736059999E+03  2.028415777914963E-03  9.554795212740124E-04  1.065017338537112E+02  7.679863784307074E+01  3.335456874715157E+02
 5.911700000000000E+04  7.628154648893745E+03  2.155982020644778E-03  1.212155639161528E-03  9.965323213451897E+01  9.738700637690846E+01  3.416813525653143E+02
 5.911800000000000E+04  7.628128436402131E+03  2.234778034303496E-03  1.451766709955467E-03  9.658040748736738E+01  1.142048645566154E+02  3.498118314932796E+02
 5.911900000000000E+04  7.628084569349033E+03  2.264594074432590E-03  1.649015560974990E-03  9.511241825313047E+01  1.293683708371387E+02  3.579916909717166E+02
 5.912000000000000E+04  7.628045967344681E+03  2.247879813588192E-03  1.792783575719709E-03  9.407157013441750E+01  1.440397444493370E+02  6.236369147450909E+00
 5.912100000000000E+04  7.628032205335855E+03  2.187634944780476E-03  1.881611747578307E-03  9.271829411632534E+01  1.589907069130827E+02  1.451376634974605E+01
 5.912200000000000E+04  7.628049488830506E+03  2.085578803862330E-03  1.922468113073695E-03  9.050338263070266E+01  1.748294935803650E+02  2.276496385553905E+01
 5.912300000000000E+04  7.628087569170374E+03  1.941883697699519E-03  1.930739587977481E-03  8.699839088083446E+01  1.920316969316401E+02  3.094292047650785E+01
 5.912400000000000E+04  7.628125147958096E+03  1.756610618533162E-03  1.929682378178733E-03  8.195947219038614E+01  2.108428226650196E+02  3.904602743143161E+01
 5.912500000000000E+04  7.628140959919510E+03  1.531751166488914E-03  1.947146433566880E-03  7.549350027390780E+01  2.311033475154319E+02  4.712690522199836E+01
 5.912600000000000E+04  7.628124746311206E+03  1.272388993658203E-03  2.008031692727231E-03  6.818760666237424E+01  2.521392889615075E+02  5.527231643506830E+01
 5.912700000000000E+04  7.628082584673070E+03  9.861850837332581E-04  2.124810197736188E-03  6.096288438902126E+01  2.729474901486053E+02  6.356422728379729E+01
 5.912800000000000E+04  7.628033893553581E+03  6.815284787193651E-04  2.292789376308451E-03  5.465115001532249E+01  2.926590198331297E+02  7.203970003652877E+01
 5.912900000000000E+04  7.628001708841090E+03  3.655879371340868E-04  2.493643656469752E-03  4.967136324823029E+01  3.108800613292125E+02  8.067361485998973E+01
 5.913000000000000E+04  7.628001186514260E+03  4.358286106292877E-05  2.702909289971197E-03  4.603615377027297E+01  3.273628600674476E+02  8.970118543441980E+01
 5.913100000000000E+04  7.628032076877061E+03  2.802742940457397E-04  2.895920417717259E-03  4.352549648556480E+01  1.636595177099468E+02  2.777904447310036E+02
 5.913200000000000E+04  7.628078904410495E+03  6.009588077810898E-04  3.051039415137582E-03  4.182322631338533E+01  1.787920051323833E+02  2.862356590993208E+02
 5.913300000000000E+04  7.628118754012389E+03  9.114662569742584E-04  3.151885202439848E-03  4.056544358566912E+01  1.936957493115682E+02  2.944652944951256E+02
 5.913400000000000E+04  7.628132763200350E+03  1.203224007288218E-03  3.190343978064636E-03  3.933393597420103E+01  2.087216877444355E+02  3.025465367946872E+02
 5.913500000000000E+04  7.628115575549340E+03  1.467859816521915E-03  3.171020950600455E-03  3.764411235969597E+01  2.242589973881020E+02  3.105746680260001E+02
 5.913600000000000E+04  7.628077985451338E+03  1.699124586404074E-03  3.116034275554283E-03  3.499109763648850E+01  2.407182428364695E+02  3.186438873097403E+02
 5.913700000000000E+04  7.628041372765338E+03  1.893692576597910E-03  3.066150676442469E-03  3.103760550662422E+01  2.583812863735925E+02  3.268095862526465E+02
 5.913800000000000E+04  7.628026672666967E+03  2.050300078707720E-03  3.071040183533855E-03  2.594742794588440E+01  2.770872856681285E+02  3.350688848741973E+02
 5.913900000000000E+04  7.628043471700808E+03  2.167813654424045E-03  3.165189133223360E-03  2.055063578978205E+01  2.960578531796904E+02  3.433702448236772E+02
 5.914000000000000E+04  7.628084856167457E+03  2.243638111010389E-03  3.344243034014139E-03  1.590397829504967E+01  3.143019134388231E+02  3.516481456871529E+02
 5.914100000000000E+04  7.628130751464524E+03  2.273709777866219E-03  3.566333216397625E-03  1.258113464466484E+01  3.312853476590552E+02  3.598631158294219E+02
 5.914200000000000E+04  7.628158123629958E+03  2.254179410552828E-03  3.776945140459253E-03  1.048207044319534E+01  3.470995836511892E+02  8.023744379226700E+00
 5.914300000000000E+04  7.628152754290762E+03  2.183630089682880E-03  3.933200458410563E-03  9.134685232244101E+00  2.167295497624209E+00  1.617934612567259E+01
 5.914400000000000E+04  7.628116539490737E+03  2.064305378790831E-03  4.014354076394222E-03  8.006386789439318E+00  1.696184232335047E+01  2.438900543091912E+01
 5.914500000000000E+04  7.628066546084507E+03  1.901513526356914E-03  4.020953288920217E-03  6.649552516938027E+00  3.190008168985590E+01  3.268337246203969E+01
 5.914600000000000E+04  7.628026346638603E+03  1.701610482151296E-03  3.968928579309780E-03  4.739603046957677E+00  4.733056132688399E+01  4.103844673011221E+01
 5.914700000000000E+04  7.628014135112260E+03  1.469929838563919E-03  3.882846997391722E-03  2.080830228223076E+00  6.352712960788386E+01  4.937614421692686E+01
 5.914800000000000E+04  7.628033703316882E+03  1.210058103640486E-03  3.790027674344404E-03  3.586161123724325E+02  8.065130746306340E+01  5.759217256296690E+01
 5.914900000000000E+04  7.628072792697391E+03  9.248522703213972E-04  3.715607607097220E-03  3.544439795246211E+02  9.870238277668899E+01  6.558881213988586E+01
 5.915000000000000E+04  7.628109579049276E+03  6.183032936343815E-04  3.678193216265013E-03  3.498208139892971E+02  1.175359359254435E+02  7.325413979409375E+01
 5.915100000000000E+04  7.628123902102011E+03  2.968159085438648E-04  3.686309080164347E-03  3.451168331263397E+02  1.373196503834044E+02  8.005021910663696E+01
 5.915200000000000E+04  7.628107551348546E+03  3.352944586490295E-05  3.736705276762130E-03  3.407186785110516E+02  3.138701922466245E+02  2.897736558156795E+02
 5.915300000000000E+04  7.628068455248297E+03  3.576420171443968E-04  3.815519297410935E-03  3.369195281242569E+02  3.492794713138038E+02  2.800392759412232E+02
 5.915400000000000E+04  7.628026700627330E+03  6.736107246256179E-04  3.901983940906060E-03  3.338541575028617E+02  6.816199399087591E+00  2.874435577647254E+02
 5.915500000000000E+04  7.628004385608570E+03  9.745275001949760E-04  3.973177735003545E-03  3.314984931117424E+02  2.292292381808600E+01  2.955680697222810E+02
 5.915600000000000E+04  7.628014380576642E+03  1.256590032755703E-03  4.008334701005827E-03  3.297087847848862E+02  3.822323993806182E+01  3.039330692974745E+02
 5.915700000000000E+04  7.628053649035587E+03  1.515773362277570E-03  3.992030843389426E-03  3.282662678951475E+02  5.312793131505694E+01  3.123466518657862E+02
 5.915800000000000E+04  7.628104540261918E+03  1.746387314393057E-03  3.916248176104446E-03  3.269088540022589E+02  6.801348944966104E+01  3.206944818639842E+02
 5.915900000000000E+04  7.628143507484337E+03  1.941212945579137E-03  3.781614264012740E-03  3.253482089112441E+02  8.320964657657372E+01  3.289351436050948E+02
 5.916000000000000E+04  7.628152892320024E+03  2.093233319206755E-03  3.598084767504113E-03  3.232815554733244E+02  9.899388709474334E+01  3.370938285659795E+02
 5.916100000000000E+04  7.628129803177040E+03  2.197806184375438E-03  3.385114424770235E-03  3.204185287052049E+02  1.155934728296255E+02  3.452334973339123E+02
 5.916200000000000E+04  7.628087514743264E+03  2.253813135749681E-03  3.170595658582344E-03  3.165586905930136E+02  1.331484973254457E+02  3.534143731844113E+02
 5.916300000000000E+04  7.628048591447649E+03  2.263015347311820E-03  2.986406976897548E-03  3.117518535148372E+02  1.515857397014428E+02  1.659818117305056E+00
 5.916400000000000E+04  7.628033241112244E+03  2.228054312832493E-03  2.858007886862779E-03  3.064848004594465E+02  1.704435552422717E+02  9.944740873888398E+00
 5.916500000000000E+04  7.628048922000475E+03  2.150487311213123E-03  2.790150302600226E-03  3.016635911527625E+02  1.888719472392331E+02  1.821319475255592E+01
 5.916600000000000E+04  7.628086550203127E+03  2.030244714472179E-03  2.759525201233042E-03  2.982175691995545E+02  2.059911068981339E+02  2.641577620659746E+01
 5.916700000000000E+04  7.628125291930442E+03  1.866875172677841E-03  2.724057372749584E-03  2.966149754258634E+02  2.213410038260267E+02  3.454436154664005E+01
 5.916800000000000E+04  7.628143397661860E+03  1.661626439234215E-03  2.642747753782735E-03  2.967252537772910E+02  2.350075400819098E+02  4.264360979176315E+01
 5.916900000000000E+04  7.628129455252181E+03  1.418851949305294E-03  2.491597927769867E-03  2.980065058750623E+02  2.474528376220671E+02  5.079322339765248E+01
 5.917000000000000E+04  7.628088302963280E+03  1.145763909765337E-03  2.268621975376204E-03  2.997439462282081E+02  2.593152797543924E+02  5.906949371565981E+01
 5.917100000000000E+04  7.628038656956774E+03  8.506986213067949E-04  1.990059928089738E-03  3.011940406701725E+02  2.713093249121129E+02  6.750140871046543E+01
 5.917200000000000E+04  7.628003748959662E+03  5.410529041399744E-04  1.682901342947634E-03  3.016291710493113E+02  2.842190871548231E+02  7.603245388710623E+01
 5.917300000000000E+04  7.627999741787551E+03  2.222840987944998E-04  1.377613450746075E-03  3.003337011764639E+02  2.990194221914479E+02  8.440346740215151E+01
 5.917400000000000E+04  7.628027731050005E+03  1.014209290858717E-04  1.102481648352832E-03  2.966527379113326E+02  1.345543448483076E+02  2.744254267089879E+02
 5.917500000000000E+04  7.628073297644921E+03  4.252552418743343E-04  8.786741217199521E-04  2.902785777010373E+02  1.551771797638251E+02  2.820527951159273E+02
 5.917600000000000E+04  7.628113800467941E+03  7.426183345345916E-04  7.141942855249813E-04  2.818913176466655E+02  1.773470733583444E+02  2.901463520284394E+02
 5.917700000000000E+04  7.628129766386298E+03  1.045091295548095E-03  5.984478246076520E-04  2.735800050103609E+02  1.995263057276882E+02  2.981547194377733E+02
 5.917800000000000E+04  7.628114648354752E+03  1.324085554518096E-03  5.057346048069667E-04  2.680846435124715E+02  2.189246877592316E+02  3.061279868330364E+02
 5.917900000000000E+04  7.628078076061463E+03  1.572792924360685E-03  4.098744890137247E-04  2.680393612219920E+02  2.328215471578933E+02  3.141526109209617E+02
 5.918000000000000E+04  7.628040886464471E+03  1.787209659473873E-03  3.006022919241054E-04  2.780723282711073E+02  2.365323806455195E+02  3.222848963406631E+02
 5.918100000000000E+04  7.628024383284086E+03  1.965537043151767E-03  2.144722903333644E-04  3.119200073604655E+02  2.163214914103601E+02  3.305241285788852E+02
 5.918200000000000E+04  7.628039283115786E+03  2.106370390057310E-03  2.768017904491654E-04  2.291526094298597E+00  1.795318633980962E+02  3.388183059004444E+02
 5.918300000000000E+04  7.628079968996693E+03  2.206988249139124E-03  4.780918970846658E-04  2.693661095542969E+01  1.684840928563470E+02  3.470972203743967E+02
 5.918400000000000E+04  7.628127133459020E+03  2.263084257108732E-03  7.322606078894264E-04  3.828488348224399E+01  1.707958673487546E+02  3.553136235176090E+02
 5.918500000000000E+04  7.628157512244895E+03  2.270245497068342E-03  1.003316632991266E-03  4.528974625975374E+01  1.775130858970437E+02  3.468185563973576E+00
 5.918600000000000E+04  7.628155743377789E+03  2.226190644181702E-03  1.269397479174677E-03  5.051158974810709E+01  1.860309132625938E+02  1.160524251065419E+01
 5.918700000000000E+04  7.628122232832029E+03  2.132231168688006E-03  1.512884973946266E-03  5.471820038961400E+01  1.955225463378570E+02  1.978366859010978E+01
 5.918800000000000E+04  7.628072961774876E+03  1.992964629413706E-03  1.720064903446418E-03  5.807562400190874E+01  2.057865452812459E+02  2.803874518480639E+01
 5.918900000000000E+04  7.628031357127566E+03  1.814406220556373E-03  1.882691111499333E-03  6.048043549520210E+01  2.169424281034186E+02  3.635434396451453E+01
 5.919000000000000E+04  7.628016440504011E+03  1.601823021149886E-03  2.000285976402847E-03  6.167494417708772E+01  2.293174554554260E+02  4.466094642340032E+01
 5.919100000000000E+04  7.628033346276567E+03  1.358740138476132E-03  2.083010689881556E-03  6.132936367622351E+01  2.433379925695608E+02  5.286208075318380E+01
 5.919200000000000E+04  7.628070996923702E+03  1.087722066213690E-03  2.154143155999639E-03  5.919317062427829E+01  2.593411372487892E+02  6.087128059865255E+01
 5.919300000000000E+04  7.628108011544442E+03  7.922081468391010E-04  2.248733465321735E-03  5.536916889442408E+01  2.772924651775744E+02  6.862022620079883E+01
 5.919400000000000E+04  7.628123770745861E+03  4.779698938075283E-04  2.403131683255351E-03  5.056418836659682E+01  2.966652065612343E+02  7.592884808969752E+01
 5.919500000000000E+04  7.628108955938845E+03  1.533130755556840E-04  2.635882854170153E-03  4.592281384209398E+01  3.185122092471715E+02  8.059965130995106E+01
 5.919600000000000E+04  7.628070317650308E+03  1.745382546876073E-04  2.934178188651253E-03  4.239177263080902E+01  1.468102711423613E+02  2.777090370579438E+02
 5.919700000000000E+04  7.628027301506942E+03  4.950213353290190E-04  3.259078907259540E-03  4.026708852684609E+01  1.652959602880974E+02  2.832243730175393E+02
 5.919800000000000E+04  7.628002247587583E+03  8.039999747577574E-04  3.563739767205188E-03  3.928912739388203E+01  1.802926530429578E+02  2.910819351373994E+02
 5.919900000000000E+04  7.628009085235180E+03  1.097257557096764E-03  3.810614259783418E-03  3.895809881382051E+01  1.942152080887299E+02  2.993667257803874E+02
 5.920000000000000E+04  7.628046157550675E+03  1.370777289832447E-03  3.980541794930637E-03  3.876064468487417E+01  2.079024253222154E+02  3.077533906527267E+02
 5.920100000000000E+04  7.628096840474659E+03  1.619007384471822E-03  4.073695311758101E-03  3.826990789012520E+01  2.219315725184972E+02  3.160915757289010E+02
 5.920200000000000E+04  7.628137730473049E+03  1.834694573075229E-03  4.105393905112590E-03  3.717878133068696E+01  2.366671846484414E+02  3.243238435427414E+02
 5.920300000000000E+04  7.628150334601779E+03  2.010395211394243E-03  4.100011375763096E-03  3.531314459617460E+01  2.522655695783463E+02  3.324679282751168E+02
 5.920400000000000E+04  7.628130351794393E+03  2.140658606502085E-03  4.084932719426514E-03  3.264437006890550E+01  2.686933889181783E+02  3.405856834922463E+02
 5.920500000000000E+04  7.628089770244111E+03  2.223409154654100E-03  4.085105181369036E-03  2.929680568859604E+01  2.857621311874095E+02  3.487411812835817E+02
 5.920600000000000E+04  7.628050639334603E+03  2.259604056858321E-03  4.118361240392767E-03  2.552946472998708E+01  3.031828500576243E+02  3.569643321756369E+02
 5.920700000000000E+04  7.628033673359316E+03  2.251403079925570E-03  4.192198920588200E-03  2.167570102370934E+01  3.206412948496595E+02  5.236093609082762E+00
 5.920800000000000E+04  7.628047557712031E+03  2.200123517604491E-03  4.302980216050288E-03  1.805505464147752E+01  3.378715054439082E+02  1.350300162076250E+01
 5.920900000000000E+04  7.628084495105033E+03  2.105440280387655E-03  4.437696545252721E-03  1.489828082482838E+01  3.546946595380244E+02  2.171323794826830E+01
 5.921000000000000E+04  7.628124281883711E+03  1.966398033603565E-03  4.577255299351472E-03  1.231600127759213E+01  1.101440719121793E+01  2.985258718629226E+01
 5.921100000000000E+04  7.628144795808615E+03  1.783470979056508E-03  4.700010120850852E-03  1.030697899655097E+01  2.679429828007636E+01  3.795870551322221E+01
 5.921200000000000E+04  7.628133435357471E+03  1.560173782368345E-03  4.784915275579730E-03  8.782007921782760E+00  4.204901588306370E+01  4.610601166438990E+01
 5.921300000000000E+04  7.628093654504987E+03  1.303100550639877E-03  4.814531714320442E-03  7.584562418268333E+00  5.686079486054727E+01  5.436866844871535E+01
 5.921400000000000E+04  7.628043311025198E+03  1.020362884108510E-03  4.778229089625090E-03  6.504024229301263E+00  7.140977091392561E+01  6.277706603041833E+01
 5.921500000000000E+04  7.628005733014700E+03  7.194667065918177E-04  4.675404962695906E-03  5.287604738246200E+00  8.599782455610905E+01  7.128209598353382E+01
 5.921600000000000E+04  7.627998085895922E+03  4.060591530069952E-04  4.517882068078011E-03  3.663363022799687E+00  1.010738338595070E+02  7.970688288240827E+01
 5.921700000000000E+04  7.628022898711316E+03  8.440150337282237E-05  4.330091555649747E-03  1.390740129037540E+00  1.183964737690800E+02  8.653341484497128E+01
